Country Code,Currency Code,BTC ATH,BTC Price,Retouched-YN,"Annual Inflation (21,22,23,24)",Effective Inflation Rate from Nov 2021 to Mar 2024,BTC ATH Inflation Adjusted
MNE,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
IRN,IRR,2897482500.0,2832822000.0,0,"34.3, 54, 40, 25",139.45409135706092,6938140392.604854
AFG,AFN,6279029.74319458,4886500.0,0,"12.6, 5.2, 0, 0",7.301420549082338,6737488.111147181
UZB,UZS,735512457.2753906,844452578.0,1,"10, 12.3, 9.9, 10.7",28.621371078266456,946026206.9990562
TKM,TMT,231322.4932551384,236574.0,1,"21.1, 3, 11, 10",20.883139854733667,279629.8930370658
AGO,AOA,37851123.0,55842382.8,1,"27, 13.8, 17.2, 25.6",46.93251209090106,55615605.87851683
NAM,NAD,1037759.9809169768,1287340.0,1,"4.5, 6.9, 5.3, 5.3",14.868041814354882,1192054.5688123542
ECU,USD,69000.0,67400.0,0,"1.9, 3.7, 2.4, 1.5",6.91966456528732,77016.213693
BOL,BOB,464023.45526218414,465911.19,1,"0.9, 3.1, 3.6, 3.8",7.97327807463748,501021.33568177914
PRY,PYG,466581604.9804688,491132611.6,1,"6.8, 8.1, 4.1, 4",14.893810634074667,536073385.6796861
GUY,GYD,13834858.76083374,14123905.9,1,"5.7, 7.2, 3.8, 5.5",13.819782575793038,15746806.161249017
VEN,VES,305193.9078569412,2428762.37,1,"686.4, 234, 250, 230",2121.861141629784,6780984.845294786
NIC,NIO,2418235.625267029,2481747.53,1,"7.2, 11.6, 7.6, 4.8",22.91340527397314,2972335.7545640618
HNL,HNL,1652107.1290969849,1665118.35,1,,,
SRD,SRD,,2370929.8,0,,,
PAN,PAB,67484.03580486774,67422.04,0,"2.6, 2.1, 2.2, 2.2",5.365214422182918,71104.6990265416
CRI,CRC,43413240.5090332,34661245.32,0,"3.3, 7.9, -0.9, 3",8.306484388209046,47019354.55433169
SLV,USD,69000.0,67400.0,0,"6.1, 7.3, 3.1, 1.7",12.195263478406693,77016.213693
BEN,XOF,39014623.16894531,40738730.28,1,"5, 2.9, 5, 2.5",9.60167466477435,42760680.357315116
BWA,BWP,775640.412569046,926121.83,1,"8.7, 12.4, 5.1, 4.4",21.08278716321621,939167.0299028701
BFA,XOF,39014623.16894531,40738730.28,1,"8.2, 9.6, 2.4, 2",14.278648913268931,44585384.23607389
CMR,XAF,39202195.861816406,40738730.28,1,"3.5, 7.3, 6.3, 3.7",15.76245646537604,45381424.918006666
CPV,CVE,6576467.216491699,6868060.0,1,"5.4, 7.6, 5.2, 2",14.758489321614498,7547054.428377105
CAF,XAF,39202195.861816406,40738730.28,1,"2.7, 7.6, 5.5, 2.5",14.729236797543743,44976380.12014024
TCD,XAF,39202195.861816406,40738730.28,1,"1, 8.3, 4.6, 3.1",14.33917030029832,44823465.48789876
COM,KMF,29285324.684143063,30634985.0,1,"7.1, 20.6, 0.7, 1.6",23.328973609045445,36117290.35103007
COD,CDF,136999500.0,186698000.0,1,"5.3, 13.1, 19.3, 7.1",38.448571205115975,189673850.30815285
COG,XAF,39202195.861816406,40738730.28,1,"1.5, 3.2, 3.5, 3.2",7.923903541933863,42308540.04822673
CIV,XOF,39014623.16894531,40738730.28,1,"5.6, 5.1, 2.8, 2",9.569545453811745,42748145.266730905
DJI,DJF,12262680.084228516,11978328.0,0,"2.5, 3.6, 2.2, 2.5",6.974170720534256,13117900.328215566
GNQ,XAF,39202195.861816406,40738730.28,1,"2.9, 5, 1.7, 5.2",8.663431626243545,42598451.29629095
ERI,ERN,,,0,"0, 0, 0, 0",0.0,
SWZ,SZL,1038125.503063202,1285341.59,1,"3.5, 5.6, 5.6, 4.3",13.34150413820372,1176627.0600141273
GAB,XAF,39202195.861816406,40738730.28,1,"1.7, 5.4, 3, 2.4",9.514842664079248,42932223.118932426
GMB,GMD,3576787.407875061,4581515.0,1,"7.6, 13.7, 17.5, 7.1",37.577604809606015,4920858.444886102
GHA,GHS,415792.1919822693,859350.0,1,"12.6, 54.1, 31.3, 15",113.71330306844452,888603.2273859958
GIN,GNF,653029712.4023438,579471500.0,0,"12.5, 8.6, 8, 7.8",21.880349623383722,795914896.6205537
GNB,XOF,39014623.16894531,40738730.28,1,"5.8, 9.5, 1.8, 3",13.357992956544873,44226193.783875555
KEN,KES,7640025.157928467,9739300.0,1,"5.7, 9.1, 7.1, 6.5",19.8020146010915,9152904.055228526
LSO,LSL,1037759.9809169768,1287340.0,1,"7.2, 7.9, 5.9, 5",17.016524168381796,1214350.6588795085
LBR,LRD,10065375.0,12940800.0,1,"5.5, 9.2, 12.1, 6",25.32281089677697,12614210.877301466
MDG,MGA,271162461.5478516,304311000.0,1,"6.2, 10.8, 9.3, 8.6",24.873839382190344,338610976.6980579
MWI,MWK,55431847.412109375,113496747.2,1,"11.5, 25.4, 29, 15.2",70.6591236377333,94599505.0097114
MLI,XOF,39014623.16894531,40738730.28,1,"8.8, 7.8, 3, 2",13.164665590120773,44150767.84038274
MRT,MRU,2481067.465782165,2689934.0,1,"5.7, 11, 4, 4",17.659541260121813,2919212.598593425
MUS,MUR,2912662.5394821167,3090786.06,1,"6.8, 12.2, 6.4, 7.8",22.98468993509779,3582128.9930378264
MYT,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
MOZ,MZN,4360800.052642822,4279900.0,0,"6.7, 10.3, 6.7, 6.5",20.856887027631554,5270327.193123433
NER,XOF,39014623.16894531,40738730.28,1,"4.9, 3.1, 8.8, 2.5",13.770877657968118,44387279.19425806
REU,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
SHN,SHP,,,0,,,
STP,STN,,,0,"9.5, 25.2, 15.4, 7.2",49.25464433715847,
SEN,XOF,39014623.16894531,40738730.28,1,"3.8, 12.8, 4.2, 0.3",18.359088185534578,46177352.24178599
SLE,SLL,747356250.0,1331150000.0,1,"17.9, 37.1, 37.8, 21.7",103.95214838459528,1524249127.961547
TZA,TZS,158698972.41210938,171870000.0,1,"4.2, 4.9, 4, 4",10.929004479653038,176043190.21619216
TGO,XOF,39014623.16894531,40738730.28,1,"6.2, 7.7, 2.7, 2.2",12.331861795759158,43825852.57827588
UGA,UGX,241267950.43945312,264322243.0,1,"2.9, 10.2, 3.5, 5",16.008149229874903,279890483.9896614
ESH,MAD,620877.391576767,679716.87,1,,,
ZMB,ZMW,1201576.563835144,1596220.72,1,"16.4, 9.9, 11.4, 7.9",27.97655281859828,1537736.2658723814
ZWE,ZWL,,,0,"60.7, 243.8, 396.2, 190.2",2309.755409000825,
SUR,SRD,1380832.0,2370929.8,1,"60.7, 54.6, 40, 20",145.17084067913092,3385397.422766457
ALA,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
ALB,ALL,7277218.328475952,6457670.84,0,"3.7, 7.4, 3.8, 3.6",13.15437924313867,8234491.225754876
ASM,USD,69000.0,67400.0,0,,,77016.213693
AIA,XCD,185485.7997894287,182151.87,0,,,
ATA,,,,0,,,
ATG,XCD,185485.7997894287,182151.87,0,"1.2, 9.2, 4, 2.5",14.498649109671934,212378.73504916657
ABW,AWG,123863.62347006798,121454.8,0,"3.6, 5.7, 3.2, 2.2",10.325871758299442,136653.62238477007
BHS,BSD,68559.71065163612,67422.04,0,"4.1, 5.5, 3.4, 2.6",10.52697741117985,75776.97590510412
BRB,BBD,136284.24498438835,136135.87,0,"2.2, 5.7, 5, 3.6",12.377502114550708,153152.83028913048
BLZ,BZD,136049.712985754,135906.1,0,"4.9, 6.7, 2, 1.2",10.032834483477737,149699.35550486122
BMU,BMD,69000.0,67400.0,0,,,
BTN,BTN,4796571.0,5588450.11,1,"7.4, 6.5, 3.8, 5.1",13.270031300511654,5433077.473051265
BES,USD,69000.0,67400.0,0,,,77016.213693
BIH,BAM,103478.0,121466.53,1,"6.3, 14.8, 2.2, 2.1",19.14379524394574,123287.61644253017
BVT,NOK,592004.9915313721,712341.16,1,,,
IOT,USD,69000.0,67400.0,0,,,77016.213693
BRN,BND,91603.12315821648,90544.01,0,"2.2, 3.3, 1.7, 1.5",5.8310084066725,96944.50897034664
CYM,KYD,56286.14665567875,56187.11,0,,,
CXR,AUD,93826.58118009569,103548.91,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
CCK,AUD,93826.58118009569,103548.91,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
COK,NZD,97262.22655177116,110580.62,1,,,
CUB,CUP,1653697.666168213,1618166.16,0,,,
CUW,ANG,121328.6165893078,121516.2,1,,,
DMA,XCD,185485.7997894287,182151.87,0,"3.5, 6.6, 5, 2.9",13.38103202772858,210305.71406614067
DOM,DOP,3880327.434539795,3956380.0,1,"8.5, 7.8, 4, 4",14.766567134040498,4453318.590181706
FLK,FKP,,,0,,,
FRO,DKK,445145.3937292099,462768.4,1,,,
GUF,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
PYF,XPF,7110449.947357178,7424177.4,1,,,
ATF,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
GIB,GIP,,,0,,,
GRL,DKK,445145.3937292099,462768.4,1,,,
GRD,XCD,185485.7997894287,182151.87,0,"1.9, 2.9, 3.4, 2.6",7.419992499524497,199248.83222148733
GLP,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
GUM,USD,69000.0,67400.0,0,,,77016.213693
GTM,GTQ,521855.1735877991,526657.13,1,"3.1, 9.2, 5.4, 4.6",16.991941420735657,610528.4989849163
GGY,GBP,51204.57203686237,53116.88,1,,,60404.391844
HTI,HTG,6756188.627243042,8938884.56,1,"13.1, 38.7, 30.1, 12.7",89.77769645022366,12821739.144613834
HMD,AUD,93826.58118009569,103548.91,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
HND,HNL,1652107.1290969849,1665118.35,1,"5.3, 9.8, 5.3, 4.2",17.82452643583372,1946587.4010711706
IMN,GBP,51204.57203686237,53116.88,1,,,60404.391844
JEY,GBP,51204.57203686237,53116.88,1,,,60404.391844
JOR,JOD,48748.49957227707,47786.6,0,"2.3, 4.4, 2.6, 2.6",8.21329935108186,52752.35977130904
KIR,AUD,93826.58118009569,103548.91,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
PRK,KPW,,,0,,,
KGZ,KGS,5459999.0,6027582.0,1,"11.2, 14.7, 10, 8",30.917038696681853,7148069.003668442
LIE,CHF,63186.92252039909,59628.78,0,,,
MAC,MOP,541560.5664253235,543306.34,1,"1, 0.8, 0.9, 1.7",2.3062498813601673,554050.306346001
MDV,MVR,1048972.490787506,1037960.0,0,"0.2, 3.3, 3.6, 2.4",7.691068583040206,1129649.6844711984
MHL,USD,69000.0,67400.0,0,"2.2, 5.7, 3, 2.6",9.969994037312023,77016.213693
MTQ,EUR,59840.76789021492,62085.85,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
FSM,USD,69000.0,67400.0,0,"5.4, 6.9, 3.8, 3",12.769364592919175,77016.213693
MSR,XCD,185485.7997894287,182151.87,0,,,
NRU,AUD,93826.58118009569,103548.91,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
NCL,XPF,7110449.947357178,7424177.4,1,,,
NIU,NZD,97262.22655177116,110580.62,1,,,
NFK,AUD,93826.58118009569,103548.91,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
MKD,MKD,3661615.5910491934,3826965.93,1,"4.9, 18.7, 5.7, 2.3",27.191238457399148,4657254.217804684
MNP,USD,69000.0,67400.0,0,,,77016.213693
